author_id,author_name
294,Darius Foroux
295,Daniel Kahneman
296,Kevin Horsley
297,Yogesh Vermani
298,Nikita Lalwani
299,Varsha Dixit
300,Anusha Vishnampet
301,Reshma Ranjan
302,Preethi Venugopala
303,MV Kasi
304,Pooja Gupta
305,Devayu
306,Rubina Ramesh
307,Adite Banerjie
308,Savi Sharma
309,Chetan Bhagat
310,Arpit Vageria
311,Madhumitha Lakshamanan
312,Tamra Baumann
313,Preeti Shenoy
314,Dhruv Gajjar
315,Ayse Kulin
316,Sapna Bhog
317,Geetanjali Jha
318,Kalpana Mishra
319,Vikrant Khanna
320,L.J. Shen
321,Melinda Leigh
322,Anita Shirodkar
323,Aditi Nath
324,Shravya Bhinder
325,Aarti V Raman
326,Logan Chance
327,Ayush Gupta
328,Sonali Gogate
329,Amulya Malladi
330,Sundari Venkatraman
331,Corina Bomann
332,Rashmi Pillai
333,Natasha Anders
334,Sudha Nair
335,J. Alchem
336,Ajay Pandey
337,Jithin Emmanuel Jacob
338,Owen Zupp
339,Faizan Aziz
340,James Egan
341,Carter Mathews
342,Richard J. Bartlett
343,Steven Taylor
344,Michael Howard
345,Sabarimuthu V
346,Josh Memolo
347,George Icahn
348,Miles McDowell
349,Roger Penrose
350,Adrian Tweeley
351,Paul Stoner
352,Francois Duval
353,Kai Choo
354,John Gribbin
355,Nicholas Fringe
356,Isaac D. Cody
357,Andrew Thomas
358,David Straker
359,Mathew Anderson
360,Paul Deveres
361,James Chapman
362,Charles Darwin
363,Brian Y Glenn
364,Jared Hendricks
365,Shashikant Wavhal
366,Kenneth Fraser
367,Andrew Rader
368,William Tompkins
369,Eliot Hawkins
370,Readtrepreneur Publishing
371,Andr Sak
372,Calum Chace
373,David Eagleman
374,Alec Mountain
375,Scott Parazynski
376,Stuart Clark
377,KIV Books
378,Florentin Smarandache
379,Anand Udupa
380,Vitadusha Geheimnis
381,Kurt Vonnegut
382,Shaan Changotra
383,Ramez Naam
384,Terence Morais
385,Arthur C. Clarke
386,Philip C. Quaintrell
387,Douglas E. Richards
388,SK
389,Lee Strauss
390,Dave Willmarth
391,Jan Stryvant
392,Jerry Dubs
393,Archiesman Basu
394,Scott Baird
395,Thazleena Moidu
396,A.G. Riddle
397,Blake Crouch
398,John Van Stry
399,Michael-Scott Earle
400,Marc Alan Edelheit
401,J.A. Cipriano
402,Ray Hammond
403,Hugo Huesca
404,David A Wells
405,Ben S. Dobson
406,Aleron Kong
407,Vaughn Heppner
408,I H Laking
409,Andrew Mayne
410,Ken Liu
411,Raymond L. Weil
412,Cixin Liu
413,Rysa Walker
414,Christian Kallias
415,M.R. Forbes
416,Anita Vaani
417,Devendra Prabhudesai
418,Sean Bloomfield
419,Soumya Bhattacharya
420,Kevin P. Hunter
421,Robert Smith
422,Ben Bergeron
423,Pavel Veresov
424,Rebecca Ramsay
425,Jay M. Baxter
426,Dan Stevens
427,Sam Fury
428,Ellis James Stewart
429,Sam Priestley
430,G Young
431,Al Turner
432,Ralph Barker
433,Takanori Diaz
434,Adam Fisher
435,Daniel Taylor
436,Matt Jordan
437,Charlton Best
438,Ayaz Memon
439,Bill Carson
440,Chris Pountney
441,George Mahood
442,Sanjay Sharma
443,Amen Zwa
444,Tiller Roberts
445,Jason Smith
446,Chest Dugger
447,Dave Wilson
448,Muriel Golden
449,Khanh Tuan Phung
450,Larry Hodges
451,Mike Kane
452,Roderick Easdale
453,Kiril Valtchev
454,Zoltan Andrejkovics
455,Richard D. Mandell
456,Jimmy Burns
457,Geoff Greig
458,Daniel Munoz Sanchez
459,Darrin Donnelly
460,RAMNARAYAN
461,Charlie Caine
462,Ryan Patterson
463,Tori Neuman
464,BKS Iyengar
465,5 Page Travel Guides
466,Alvaro Gonzalez
467,Anthony Bourdain
468,Lloyd Camp
469,Neil Rathmell
470,Lonely Planet
471,Johann Reinhart Zieger
472,Aaron Linsdau
473,Steve Hanisch
474,David Canford
475,Alex J. Weber
476,Liam Lynch
477,Dan Boehl
478,Tristan Higbee
479,Zephan Blaxberg
480,Sam Baldwin
481,Vincent Mitchell
482,Christian Stahl
483,Manohar Shetty
484,Amy E. Rogers
485,Adam Johnson
486,51 Amazing Things
487,Eric Bodnar
488,Jess Roche
489,Datsy Davies
490,Jennifer Lee
491,Tom Fay
492,TamilSelvan Dakshnamoorthy
493,Ajit Harisinghani
494,Kate McCahill
495,Jason R. Hemmings
496,R.W. Long
497,Heather Hackett
498,Akhil Bakshi
499,Nicola Williams
500,Alex Coverdale
501,Philip Boyd
502,Rhishikesh Agashe
503,Keith Foskett
504,Jeffrey Barnes
505,Eryk Salvaggio
506,55 Secrets
507,Abhishek Kumar
508,Lavon Julian
509,Elizabeth Edmondson
